league,season,team_id,team,player_id,player_name,position,age,value_m
Eredivisie,2021,383,PSV Eindhoven,203357,Ryan Thomas,Defensive Midfield,27,2.5
Eredivisie,2021,383,PSV Eindhoven,408574,Joey Veerman,Central Midfield,23,14.0
Eredivisie,2021,383,PSV Eindhoven,298796,Érick Gutiérrez,Central Midfield,27,7.0
Eredivisie,2021,383,PSV Eindhoven,321204,Michal Sadílek,Central Midfield,23,4.0
Eredivisie,2021,383,PSV Eindhoven,147034,Marco van Ginkel,Central Midfield,29,1.75
Eredivisie,2021,383,PSV Eindhoven,74842,Mario Götze,Attacking Midfield,30,10.0
Eredivisie,2021,383,PSV Eindhoven,503638,Mohamed Ihattaren,Attacking Midfield,20,5.0
Eredivisie,2021,383,PSV Eindhoven,702869,Ismael Saibari,Attacking Midfield,21,0.45
Eredivisie,2021,383,PSV Eindhoven,434675,Cody Gakpo,Left Winger,23,30.0
Eredivisie,2021,383,PSV Eindhoven,139396,Bruma,Left Winger,27,6.0
Eredivisie,2021,383,PSV Eindhoven,594273,Jeremy Antonisse,Left Winger,20,0.3
Eredivisie,2021,383,PSV Eindhoven,503987,Noni Madueke,Right Winger,20,18.0
Eredivisie,2021,383,PSV Eindhoven,358504,Ritsu Doan,Right Winger,24,8.0
Eredivisie,2021,383,PSV Eindhoven,565424,Johan Bakayoko,Right Winger,19,3.0
Eredivisie,2021,383,PSV Eindhoven,525287,Carlos Vinícius,Centre-Forward,27,8.0
Eredivisie,2021,383,PSV Eindhoven,409517,Yorbe Vertessen,Centre-Forward,21,4.5
Eredivisie,2021,383,PSV Eindhoven,365758,Maximiliano Romero,Centre-Forward,23,3.0
Eredivisie,2021,383,PSV Eindhoven,85093,Eran Zahavi,Centre-Forward,34,1.5
Eredivisie,2021,383,PSV Eindhoven,594039,Fodé Fofana,Centre-Forward,19,0.35
Eredivisie,2021,234,Feyenoord Rotterdam,315121,Justin Bijlow,Goalkeeper,24,13.0
Eredivisie,2021,234,Feyenoord Rotterdam,200616,Valentin Cojocaru,Goalkeeper,26,0.9
Eredivisie,2021,234,Feyenoord Rotterdam,112008,Ofir Marciano,Goalkeeper,32,0.5
Eredivisie,2021,234,Feyenoord Rotterdam,554530,Tein Troost,Goalkeeper,20,0.1
