league,season,club,matches,possession,possession_against,xg_final,xg_final_against,xg_np,xg_np_against,xgot,xgot_against,shots,shots_against,shots_on_target,shots_on_target_against,shots_inside_box,shots_inside_box_against,big_chances,big_chances_against,corners,corners_against,passes,passes_against,accurate_passes,accurate_passes_against,touches_opp_box,touches_opp_box_against,tackles,tackles_against,interceptions,interceptions_against,clearances,clearances_against,fouls,fouls_against,yellow_cards,yellow_cards_against,red_cards,red_cards_against,saves,saves_against,final_third_entries,final_third_entries_against,ball_recoveries,ball_recoveries_against,dispossessed,dispossessed_against,km_covered,km_covered_against,sprints,sprints_against,opp_half_passes,opp_half_passes_against,pass_accuracy
Eerste Divisie,22/23,ADO Den Haag,38,46.18421052631579,53.81578947368421,1.373068136503937,1.1736194208905728,,,,,13.236842105263158,12.578947368421053,4.657894736842105,4.2105263157894735,9.394736842105264,7.2894736842105265,1.8333333333333333,1.6111111111111112,4.947368421052632,4.447368421052632,395.60526315789474,469.3421052631579,306.55263157894734,374.94736842105266,,,16.842105263157894,15.973684210526315,11.657894736842104,10.552631578947368,17.026315789473685,18.210526315789473,11.026315789473685,11.210526315789474,1.894736842105263,1.605263157894737,0.18421052631578946,0.07894736842105263,2.6842105263157894,3.3421052631578947,61.21052631578947,63.76315789473684,,,9.657894736842104,9.710526315789474,,,,,,,0.7748952304929155
Eerste Divisie,22/23,Almere City,38,53.078947368421055,46.921052631578945,1.3071124605372606,1.0274606063741234,,,,,13.657894736842104,10.710526315789474,4.868421052631579,4.131578947368421,8.5,6.578947368421052,1.7941176470588236,1.411764705882353,4.947368421052632,4.921052631578948,453.7105263157895,396.2631578947368,356.44736842105266,297.6578947368421,,,18.0,15.5,11.026315789473685,12.210526315789474,17.210526315789473,16.94736842105263,12.236842105263158,11.868421052631579,1.7105263157894737,2.0,0.05263157894736842,0.15789473684210525,3.026315789473684,3.289473684210526,68.76315789473684,60.10526315789474,,,9.31578947368421,10.710526315789474,,,,,,,0.7856272838002436
Eerste Divisie,22/23,De Graafschap,38,55.0,45.0,1.4965266285528436,1.1242418369529337,,,,,14.763157894736842,11.026315789473685,5.2368421052631575,3.973684210526316,9.5,7.078947368421052,2.027027027027027,1.5675675675675675,5.7631578947368425,3.8684210526315788,467.9736842105263,387.3421052631579,374.7368421052632,294.13157894736844,,,16.605263157894736,16.736842105263158,9.894736842105264,11.078947368421053,13.236842105263158,23.63157894736842,10.105263157894736,9.81578947368421,1.4210526315789473,1.368421052631579,0.0,0.07894736842105263,2.5789473684210527,3.4473684210526314,67.23684210526316,56.078947368421055,,,9.342105263157896,10.157894736842104,,,,,,,0.8007647753472418
Eerste Divisie,22/23,Den Bosch,38,46.81578947368421,53.18421052631579,0.9254843729697058,1.7072192828848565,,,,,9.342105263157896,14.710526315789474,3.473684210526316,6.157894736842105,6.368421052631579,10.131578947368421,1.1388888888888888,2.7222222222222223,4.421052631578948,5.447368421052632,387.7368421052632,442.10526315789474,292.5263157894737,350.6578947368421,,,18.07894736842105,16.789473684210527,12.473684210526315,8.657894736842104,19.763157894736842,12.710526315789474,10.473684210526315,10.236842105263158,1.763157894736842,1.368421052631579,0.05263157894736842,0.02631578947368421,3.9210526315789473,2.3421052631578947,60.526315789473685,60.31578947368421,,,9.842105263157896,10.605263157894736,,,,,,,0.7544455002036107
Eerste Divisie,22/23,Dordrecht,38,45.89473684210526,54.10526315789474,1.0382692515080465,1.5873475576369234,,,,,10.921052631578947,14.447368421052632,3.710526315789474,6.105263157894737,6.684210526315789,9.526315789473685,1.3157894736842106,2.263157894736842,3.8947368421052633,5.184210526315789,398.10526315789474,466.7368421052632,307.86842105263156,378.2105263157895,,,20.0,16.394736842105264,11.921052631578947,9.842105263157896,18.13157894736842,13.052631578947368,13.526315789473685,10.631578947368421,2.289473684210526,1.736842105263158,0.13157894736842105,0.0,4.2105263157894735,2.6315789473684212,50.78947368421053,64.65789473684211,,,9.421052631578947,9.657894736842104,,,,,,,0.7733342147012163
Eerste Divisie,22/23,Eindhoven,38,44.473684210526315,55.526315789473685,1.2036111503179387,1.0472310864993122,,,,,12.210526315789474,11.368421052631579,4.315789473684211,3.6315789473684212,7.842105263157895,6.421052631578948,1.6571428571428573,1.542857142857143,4.157894736842105,5.131578947368421,388.57894736842104,486.94736842105266,292.4736842105263,389.8421052631579,,,18.894736842105264,20.86842105263158,13.289473684210526,11.789473684210526,19.736842105263158,15.31578947368421,10.710526315789474,11.842105263157896,1.6842105263157894,1.763157894736842,0.18421052631578946,0.02631578947368421,2.324324324324324,2.7837837837837838,53.078947368421055,67.52631578947368,,,12.157894736842104,11.842105263157896,,,,,,,0.7526750643369904
Eerste Divisie,22/23,Helmond Sport,38,46.921052631578945,53.078947368421055,0.974738998337258,1.1416720076810694,,,,,10.447368421052632,11.710526315789474,3.6315789473684212,4.078947368421052,6.7368421052631575,7.657894736842105,1.2,1.5142857142857142,4.052631578947368,5.526315789473684,418.5263157894737,472.07894736842104,323.2105263157895,377.0,,,18.57894736842105,15.710526315789474,12.026315789473685,10.552631578947368,18.710526315789473,14.236842105263158,11.5,9.605263157894736,1.9473684210526316,1.3157894736842106,0.05263157894736842,0.10526315789473684,2.5833333333333335,2.6944444444444446,57.6578947368421,63.21052631578947,,,9.710526315789474,9.894736842105264,,,,,,,0.772258551307847
Eerste Divisie,22/23,Heracles,38,51.36842105263158,48.63157894736842,1.6573340139437174,1.025269407799863,,,,,15.052631578947368,10.210526315789474,6.184210526315789,3.6578947368421053,9.789473684210526,6.315789473684211,2.657142857142857,1.542857142857143,6.157894736842105,3.9473684210526314,418.55263157894734,401.7105263157895,326.8421052631579,311.2631578947368,,,20.31578947368421,16.92105263157895,11.236842105263158,10.736842105263158,13.31578947368421,20.13157894736842,12.368421052631579,10.868421052631579,1.7105263157894737,1.8421052631578947,0.05263157894736842,0.13157894736842105,2.526315789473684,3.5,63.578947368421055,54.21052631578947,,,9.368421052631579,11.447368421052632,,,,,,,0.780886513674945
Eerste Divisie,22/23,Jong AZ,38,52.078947368421055,47.921052631578945,1.1819712235443594,1.2709753212201165,,,,,11.552631578947368,13.18421052631579,5.2105263157894735,5.2894736842105265,6.2894736842105265,8.473684210526315,1.911764705882353,1.588235294117647,4.0,5.052631578947368,478.2894736842105,428.60526315789474,385.2894736842105,340.2368421052632,,,18.736842105263158,18.105263157894736,10.605263157894736,11.947368421052632,16.57894736842105,13.210526315789474,10.105263157894736,12.052631578947368,1.631578947368421,1.868421052631579,0.07894736842105263,0.13157894736842105,3.789473684210526,3.5789473684210527,59.94736842105263,60.36842105263158,,,10.157894736842104,10.710526315789474,,,,,,,0.805557083906465
Eerste Divisie,22/23,Jong Ajax,38,61.21052631578947,38.78947368421053,1.283684255215489,1.6492470616650994,,,,,13.947368421052632,15.026315789473685,5.552631578947368,5.473684210526316,7.7631578947368425,10.81578947368421,1.6216216216216217,2.324324324324324,4.342105263157895,5.0,563.6578947368421,343.10526315789474,484.7631578947368,259.2105263157895,,,15.763157894736842,22.31578947368421,8.105263157894736,12.105263157894736,16.63157894736842,16.44736842105263,8.526315789473685,11.289473684210526,1.5,1.7105263157894737,0.13157894736842105,0.13157894736842105,3.5789473684210527,3.6842105263157894,63.86842105263158,53.39473684210526,,,12.157894736842104,8.789473684210526,,,,,,,0.860030813763481
Eerste Divisie,22/23,Jong PSV,38,50.78947368421053,49.21052631578947,1.1920197365012661,1.1917174865796156,,,,,12.210526315789474,13.052631578947368,4.421052631578948,4.315789473684211,7.184210526315789,8.236842105263158,1.7222222222222223,1.3888888888888888,3.6578947368421053,5.105263157894737,465.39473684210526,446.10526315789474,379.86842105263156,356.6578947368421,,,17.657894736842106,19.789473684210527,10.236842105263158,10.657894736842104,19.394736842105264,11.210526315789474,10.026315789473685,10.736842105263158,1.631578947368421,1.4473684210526316,0.0,0.0,2.6315789473684212,2.8157894736842106,50.89473684210526,65.07894736842105,,,10.657894736842104,10.894736842105264,,,,,,,0.8162284421826407
Eerste Divisie,22/23,Jong Utrecht,38,47.63157894736842,52.36842105263158,1.1544444087358705,1.3435856550975296,,,,,12.236842105263158,13.078947368421053,4.026315789473684,5.157894736842105,7.684210526315789,8.5,1.588235294117647,1.9411764705882353,4.315789473684211,5.078947368421052,408.36842105263156,450.2368421052632,320.55263157894734,360.4736842105263,,,17.5,20.894736842105264,11.763157894736842,11.631578947368421,16.55263157894737,12.0,11.447368421052632,10.868421052631579,1.8421052631578947,1.763157894736842,0.10526315789473684,0.05263157894736842,3.4210526315789473,3.1578947368421053,53.78947368421053,62.36842105263158,,,10.736842105263158,11.026315789473685,,,,,,,0.7849594019847919
Eerste Divisie,22/23,MVV,38,48.26315789473684,51.73684210526316,1.403261425099095,1.741813507270764,,,,,11.947368421052632,18.342105263157894,4.631578947368421,6.184210526315789,7.921052631578948,11.973684210526315,2.3513513513513513,2.081081081081081,3.6842105263157894,5.631578947368421,441.63157894736844,466.5,338.8421052631579,366.86842105263156,,,16.0,15.078947368421053,12.921052631578947,11.973684210526315,18.473684210526315,12.026315789473685,11.368421052631579,8.657894736842104,1.868421052631579,1.6842105263157894,0.02631578947368421,0.02631578947368421,4.486486486486487,3.081081081081081,58.28947368421053,69.8157894736842,,,9.526315789473685,9.394736842105264,,,,,,,0.7672506256703611
Eerste Divisie,22/23,NAC Breda,38,49.71052631578947,50.28947368421053,1.1130653812606377,1.3353485841264665,,,,,11.657894736842104,12.078947368421053,4.2105263157894735,4.526315789473684,7.368421052631579,8.526315789473685,1.457142857142857,2.057142857142857,4.947368421052632,4.605263157894737,414.3421052631579,421.1578947368421,310.05263157894734,320.94736842105266,,,19.526315789473685,15.763157894736842,10.552631578947368,10.210526315789474,16.763157894736842,19.86842105263158,10.236842105263158,11.68421052631579,1.605263157894737,1.894736842105263,0.10526315789473684,0.13157894736842105,2.789473684210526,2.5526315789473686,65.21052631578948,61.44736842105263,,,10.078947368421053,10.289473684210526,,,,,,,0.7483010479517307
Eerste Divisie,22/23,PEC Zwolle,38,59.473684210526315,40.526315789473685,1.908832206682133,1.0664215776478594,,,,,18.289473684210527,9.763157894736842,6.815789473684211,4.0,12.657894736842104,6.2368421052631575,2.5135135135135136,1.6216216216216217,5.973684210526316,3.3421052631578947,511.2105263157895,350.1842105263158,404.1578947368421,240.21052631578948,,,15.210526315789474,16.105263157894736,10.31578947368421,13.0,12.552631578947368,23.13157894736842,10.868421052631579,10.447368421052632,1.3421052631578947,1.736842105263158,0.05263157894736842,0.07894736842105263,2.945945945945946,4.27027027027027,77.3157894736842,57.0,,,10.342105263157896,8.868421052631579,,,,,,,0.7905899310202821
