league,season,club,games,pts,gf,ga,xg,xga,xpts,est_share,season_len,partial,is_reserve,team_id,squad_value_m,pts_pg,xpts_pg,value_rank,xg_source,predicted_xpts_pg,predicted_xpts,club_skill,pts_vs_budget,luck,growth_m,growth_pct,n_matched,n_squad
Eerste Divisie,22/23,VVV-Venlo,38,58,56.0,51.0,51.24077567067476,46.5515657814816,55.92419817275048,1.0,38,False,False,1426,7.98,1.5263157894736843,1.4716894255986968,12.0,estimated,1.3825233221483564,52.53588624163754,3.388311931112934,5.46411375836246,2.0758018272495264,0.7250000000000001,0.1124031007751938,24.0,27.0
Eerste Divisie,22/23,Willem II,38,68,68.0,40.0,54.28854219045446,30.796279665703373,68.35800451921055,1.0,38,False,False,403,9.95,1.7894736842105263,1.7988948557686988,9.0,estimated,1.505330282897393,57.20255075010093,11.155453769109624,10.79744924989907,-0.35800451921055343,-0.625,-0.0625,23.0,28.0
Eerste Divisie,23/24,ADO Den Haag,38,63,72.0,50.0,54.9401478260969,42.43022830382169,59.895920150244834,1.0,38,False,False,1268,9.98,1.6578947368421053,1.576208425006443,11.0,estimated,1.5070059762604784,57.26622709789818,2.6296930523466546,5.733772902101823,3.1040798497551685,0.925,0.1831683168316832,19.0,33.0
Eerste Divisie,23/24,Cambuur,38,47,71.0,74.0,59.367140784350326,52.30213181385723,56.68840111899235,1.0,38,False,False,133,10.1,1.236842105263158,1.4918000294471672,9.0,estimated,1.5136587533685866,57.519032628006286,-0.8306315090139376,-10.519032628006286,-9.68840111899235,0.375,0.04731861198738171,20.0,31.0
Eerste Divisie,23/24,De Graafschap,38,63,61.0,52.0,54.10221418683347,46.35367952432788,57.09742948713122,1.0,38,False,False,642,8.03,1.6578947368421053,1.5025639338718744,14.0,estimated,1.3859999671702359,52.66799875246896,4.429430734662263,10.33200124753104,5.902570512868776,1.85,0.3592233009708738,22.0,32.0
Eerste Divisie,23/24,Den Bosch,38,33,38.0,68.0,38.0614743219719,46.25956724094418,46.3662895305528,1.0,38,False,False,404,8.18,0.868421052631579,1.2201655139619156,13.0,estimated,1.3963014775895732,53.05945614840378,-6.693166617850989,-20.059456148403783,-13.366289530552793,0.44999999999999996,0.13533834586466165,18.0,33.0
Eerste Divisie,23/24,Dordrecht,38,69,74.0,51.0,53.57616379757588,52.64488702481851,52.72958359165752,1.0,38,False,False,1455,11.58,1.8157894736842106,1.3876206208330928,6.0,estimated,1.589771729330137,60.41132571454521,-7.68174212288768,8.588674285454797,16.270416408342477,1.5750000000000002,0.4344827586206897,18.0,31.0
Eerste Divisie,23/24,Eindhoven,38,43,45.0,57.0,48.23870069207704,49.234353978762634,50.32738324268687,1.0,38,False,False,3892,7.15,1.131578947368421,1.3244048221759703,16.0,estimated,1.3213931452255137,50.21293951856952,0.1144437241173537,-7.21293951856952,-7.327383242686874,0.12500000000000008,0.022727272727272742,19.0,27.0
Eerste Divisie,23/24,Emmen,38,57,59.0,60.0,48.273488384476906,44.680906425731784,54.318762491619985,1.0,38,False,False,1283,9.23,1.5,1.429441118200526,12.0,estimated,1.4635214269128132,55.6138142226869,-1.2950517310669127,1.3861857773130994,2.681237508380012,-0.4749999999999999,-0.053977272727272714,25.0,30.0
Eerste Divisie,23/24,Groningen,38,75,71.0,30.0,60.731364947268936,29.59241051837499,70.83247115499968,1.0,38,False,False,202,22.23,1.9736842105263157,1.864012398815781,4.0,estimated,1.9527717050661868,74.2053247925151,-3.372853637515418,0.7946752074848984,4.167528845000316,4.4750000000000005,0.29489291598023065,21.0,33.0
