league,season,club,team_id,growth_m,n_matched,prev_value_m,value_m,n_squad,growth_pct
Eredivisie,25/26,Heerenveen,306,12.175,21,34.3,46.475,27,0.3549562682215744
Eredivisie,25/26,Heracles,1304,-4.7250000000000005,29,17.125,12.4,36,-0.2759124087591241
Eredivisie,25/26,NAC Breda,132,-3.475,20,14.3,10.825,30,-0.243006993006993
Eredivisie,25/26,NEC,467,25.099999999999998,21,33.875,58.975,36,0.7409594095940959
Eredivisie,25/26,PEC Zwolle,1269,-4.3,23,22.225,17.925,30,-0.1934758155230596
Eredivisie,25/26,PSV,383,42.325,27,194.82500000000002,237.15,37,0.21724624663159245
Eredivisie,25/26,Sparta Rotterdam,468,6.85,22,22.425,29.275000000000002,33,0.3054626532887402
Eredivisie,25/26,Telstar,1434,3.75,18,7.375,11.125,28,0.5084745762711864
Eredivisie,25/26,Twente,317,10.3,23,47.45,57.75,32,0.21707060063224448
Eredivisie,25/26,Utrecht,200,10.125,30,61.975,72.1,39,0.16337232755143202
Eredivisie,25/26,Volendam,724,2.825,28,12.15,14.975,35,0.23251028806584362
