league,season,club,manager,manager_id,games,share,growth_m,attributed_m
Eerste Divisie,24/25,Emmen,Robin Peter,94614,21,1.0,-0.32499999999999996,-0.32499999999999996
Eerste Divisie,24/25,Excelsior,Ruben den Uil,69015,38,1.0,-0.2000000000000002,-0.2000000000000002
Eerste Divisie,24/25,Helmond Sport,Kevin Hofland,34709,23,0.6216216216216216,-0.07499999999999993,-0.046621621621621576
Eerste Divisie,24/25,Helmond Sport,Robert Maaskant,505,14,0.3783783783783784,-0.07499999999999993,-0.028378378378378352
Eerste Divisie,24/25,Jong AZ,Lee-Roy Echteld,39640,38,1.0,28.95,28.95
Eerste Divisie,24/25,Jong Ajax,Frank Peereboom,36726,38,1.0,-22.975,-22.975
Eerste Divisie,24/25,Jong PSV,Alfons Groenendijk,2234,38,1.0,-9.899999999999999,-9.899999999999999
Eerste Divisie,24/25,Jong Utrecht,Ivar van Dinteren,17822,38,1.0,5.375,5.375
Eerste Divisie,24/25,MVV,Edwin Hermans,13092,38,1.0,0.09999999999999995,0.09999999999999995
Eerste Divisie,24/25,Roda JC,Bas Sibum,55941,38,1.0,-1.0749999999999997,-1.0749999999999997
Eerste Divisie,24/25,TOP Oss,Sjors Ultee,35586,38,1.0,0.24999999999999997,0.24999999999999997
Eerste Divisie,24/25,Telstar,Anthony Correia,56262,38,1.0,1.75,1.75
Eerste Divisie,24/25,VVV-Venlo,John Lammers,19477,38,1.0,-0.5499999999999999,-0.5499999999999999
Eerste Divisie,24/25,Vitesse,John van den Brom,1886,38,1.0,0.7249999999999999,0.7249999999999999
Eerste Divisie,24/25,Volendam,Rick Kruys,58257,38,1.0,1.6749999999999998,1.6749999999999998
Eerste Divisie,25/26,ADO Den Haag,Robin Peter,94614,38,1.0,2.1,2.1
Eerste Divisie,25/26,Almere City,Jeroen Rijsdijk,35419,38,1.0,1.5250000000000004,1.5250000000000004
Eerste Divisie,25/26,Cambuur,Henk de Jong,3797,38,1.0,0.9999999999999999,0.9999999999999999
Eerste Divisie,25/26,De Graafschap,Marinus Dijkhuizen,25155,38,1.0,0.9750000000000001,0.9750000000000001
Eerste Divisie,25/26,Den Bosch,Ulrich Landvreugd,28556,38,1.0,1.0250000000000001,1.0250000000000001
Eerste Divisie,25/26,Dordrecht,Dirk Kuyt,58167,38,1.0,0.7,0.7
Eerste Divisie,25/26,Eindhoven,Jan Poortvliet,1283,25,0.6578947368421053,-0.3500000000000001,-0.23026315789473692
Eerste Divisie,25/26,Eindhoven,Maurice Verberne,17135,13,0.34210526315789475,-0.3500000000000001,-0.1197368421052632
Eerste Divisie,25/26,Emmen,Menno van Dam,69478,38,1.0,0.625,0.625
Eerste Divisie,25/26,Helmond Sport,Jurgen Seegers,81771,38,1.0,-0.25,-0.25
Eerste Divisie,25/26,Jong AZ,Frank Peereboom,36726,13,0.3611111111111111,14.4,5.2
Eerste Divisie,25/26,Jong AZ,Lee-Roy Echteld,39640,23,0.6388888888888888,14.4,9.2
Eerste Divisie,25/26,Jong Ajax,Paul Nuijten,98217,8,0.21052631578947367,14.625,3.0789473684210527
Eerste Divisie,25/26,Jong Ajax,Willem Weijs,55110,25,0.6578947368421053,14.625,9.62171052631579
Eerste Divisie,25/26,Jong Ajax,Óscar García,16362,5,0.13157894736842105,14.625,1.9243421052631577
Eerste Divisie,25/26,Jong PSV,Stijn Schaars,80512,38,1.0,3.0,3.0
Eerste Divisie,25/26,Jong Utrecht,Mark Otten,68334,38,1.0,-2.725,-2.725
Eerste Divisie,25/26,MVV,Edwin Hermans,13092,7,0.21212121212121213,0.35000000000000003,0.07424242424242425
Eerste Divisie,25/26,MVV,Peter van den Berg,10697,26,0.7878787878787878,0.35000000000000003,0.27575757575757576
Eerste Divisie,25/26,RKC Waalwijk,Sander Duits,67686,38,1.0,0.4750000000000001,0.4750000000000001
Eerste Divisie,25/26,Roda JC,Kevin Van Dessel,47535,38,1.0,-0.2000000000000001,-0.2000000000000001
Eerste Divisie,25/26,TOP Oss,Sjors Ultee,35586,38,1.0,1.025,1.025
Eerste Divisie,25/26,VVV-Venlo,Peter Uneken,29603,29,1.0,0.5499999999999998,0.5499999999999998
Eerste Divisie,25/26,Vitesse,Rüdiger Rehm,11289,38,1.0,1.025,1.025
Eerste Divisie,25/26,Willem II,John Stegeman,10972,38,1.0,1.9500000000000002,1.9500000000000002
Eredivisie,22/23,AZ,Pascal Jansen,18820,34,1.0,60.125,60.125
Eredivisie,22/23,Ajax,Alfred Schreuder,10267,17,1.0,79.375,79.375
Eredivisie,22/23,Cambuur,Henk de Jong,3797,10,0.3333333333333333,-2.1999999999999997,-0.7333333333333332
Eredivisie,22/23,Cambuur,Sjors Ultee,35586,20,0.6666666666666666,-2.1999999999999997,-1.4666666666666663
Eredivisie,22/23,Emmen,Dick Lukkien,2208,34,1.0,1.0999999999999999,1.0999999999999999
Eredivisie,22/23,Excelsior,Marinus Dijkhuizen,25155,34,1.0,4.2,4.2
Eredivisie,22/23,Feyenoord,Arne Slot,34822,34,1.0,59.5,59.5
Eredivisie,22/23,Fortuna Sittard,Julio Velázquez,17326,28,1.0,-1.7500000000000002,-1.7500000000000002
Eredivisie,22/23,Go Ahead Eagles,René Hake,16339,34,1.0,2.925,2.925
Eredivisie,22/23,Groningen,Dennis van der Ree,42331,20,0.5882352941176471,2.625,1.5441176470588236
Eredivisie,22/23,Groningen,Frank Wormuth,305,14,0.4117647058823529,2.625,1.0808823529411764
Eredivisie,22/23,Heerenveen,Kees van Wonderen,1665,34,1.0,22.75,22.75
Eredivisie,22/23,NEC,Rogier Meijer,49162,34,1.0,1.7250000000000003,1.7250000000000003
Eredivisie,22/23,PSV,Ruud van Nistelrooy,36058,33,1.0,45.925,45.925
Eredivisie,22/23,RKC Waalwijk,Joseph Oosting,10694,34,1.0,1.625,1.625
Eredivisie,22/23,Sparta Rotterdam,Maurice Steijn,13405,34,1.0,12.3,12.3
Eredivisie,22/23,Twente,Ron Jans,512,34,1.0,28.375,28.375
Eredivisie,22/23,Utrecht,Henk Fraser,17353,14,0.4117647058823529,3.3500000000000005,1.3794117647058826
Eredivisie,22/23,Utrecht,Michael Silberbauer,49694,20,0.5882352941176471,3.3500000000000005,1.970588235294118
Eredivisie,22/23,Vitesse,Phillip Cocu,6405,27,0.7941176470588235,-0.7500000000000001,-0.5955882352941178
Eredivisie,22/23,Vitesse,Thomas Letsch,335,7,0.20588235294117646,-0.7500000000000001,-0.15441176470588236
Eredivisie,22/23,Volendam,Wim Jonk,21800,34,1.0,3.9,3.9
Eredivisie,23/24,AZ,Maarten Martens,49088,17,0.5,18.525000000000002,9.262500000000001
Eredivisie,23/24,AZ,Pascal Jansen,18820,17,0.5,18.525000000000002,9.262500000000001
Eredivisie,23/24,Ajax,John van 't Schip,6210,26,0.7878787878787878,60.1,47.35151515151515
Eredivisie,23/24,Ajax,Maurice Steijn,13405,7,0.21212121212121213,60.1,12.74848484848485
Eredivisie,23/24,Almere City,Alex Pastoor,3801,34,1.0,3.7750000000000004,3.7750000000000004
Eredivisie,23/24,Excelsior,Marinus Dijkhuizen,25155,34,1.0,5.35,5.35
Eredivisie,23/24,Feyenoord,Arne Slot,34822,34,1.0,97.425,97.425
Eredivisie,23/24,Fortuna Sittard,Danny Buijs,37630,34,1.0,8.625,8.625
Eredivisie,23/24,Go Ahead Eagles,René Hake,16339,34,1.0,10.65,10.65
Eredivisie,23/24,Heerenveen,Kees van Wonderen,1665,34,1.0,1.5999999999999999,1.5999999999999999
Eredivisie,23/24,Heracles,Erwin van de Looi,12458,18,0.5454545454545454,0.725,0.3954545454545454
Eredivisie,23/24,Heracles,John Lammers,19477,15,0.45454545454545453,0.725,0.32954545454545453
Eredivisie,23/24,NEC,Rogier Meijer,49162,34,1.0,12.975,12.975
Eredivisie,23/24,PEC Zwolle,Johnny Jansen,33770,34,1.0,3.0,3.0
Eredivisie,23/24,PSV,Peter Bosz,1269,34,1.0,110.675,110.675
Eredivisie,23/24,RKC Waalwijk,Henk Fraser,17353,34,1.0,2.5000000000000004,2.5000000000000004
Eredivisie,23/24,Sparta Rotterdam,Jeroen Rijsdijk,35419,34,1.0,5.75,5.75
Eredivisie,23/24,Twente,Joseph Oosting,10694,34,1.0,35.95,35.95
Eredivisie,23/24,Utrecht,Ron Jans,512,30,1.0,-1.6000000000000008,-1.6000000000000008
Eredivisie,23/24,Vitesse,Edward Sturing,597,22,0.6666666666666666,-7.175000000000001,-4.783333333333333
